Name,Tags,Price
abbadons gate,livro/the-expanse/scifi/espaco/fantasia/aventura,0
apocalipse now,filme/apocalipse-now/drama/guerra/eua,0
atlas da terra media,livro//tolkien/mapas/fantasia/senhor-dos-aneis,0
babylon 5 s2,serie/babylon-5/scifi/espaco/eua,0
barba-azul,livro/kurt-vonnegut/classico/comedia/novel/scifi/estados-unidos/artes/contemporaneo,0
battlestar galactica s2,serie/scifi/espaco/acao/aventura/politica,0
brandon sanderson sampler,livro/fantasia/epico/alta-fantasia/scifi/aventura,0
casa nobre,livro/james-clavell/-historica/historia/asia/china/aventura/suspense/novel/classico,0
Dodesukaden,filme/drama/kurosawa/japao/classico/cult/samurai,0
Dreams,filme/drama/fantasia,0
drunken angel,filme/kurosawa/japao/drama/crime/romance/suspense,15
eles vivem,filme/scifi/acao/aventura,0
escravidao,livro/historia/brasil/africa/racial/politica/portugal/laurentino-gomes,0
forbidden planet,filme/scifi/acao/aventura/suspense,0
gaming historian,filme/documentario/jogos/historia/biografia/gaming-historian/computacao,0
high and low,filme/drama/crime/suspense,0
hyperion,livro/scifi/fantasia/space-opera/fantasia/terror/viagem-no-tempo/classico,20
ikiru to live,filme/drama/kurosawa/japao/classico/cult,0
i live in fear,filme/drama/kurosawa/japao/classico/cult,0
ivan o terrivel,filme/historia/russia/drama,0
Love Death Robots s2,serie/scifi/espaco/animacao/fantasia/terror,0
Madadayo,filme/drama/kurosawa/japao/classico/cult,0
no clip,filme/jogos/documentario/historia/biografia/no-clip/horizon/computacao/artes,0
O leao no inverno,filme/drama/historia,0
o nome do vento,livro/fantasia/epico/alta-fantasia/magia/adulto/aventura,0
o ultimo rei da escocia,filme/drama/historia/misterio/suspense,0
people make games,filme/documentario/jogos/historia/biografia/people-make-games,0
ponte dos espioes,filme/espionagem/suspense/drama/historia/europa,12
Ran,filme/drama/kurosawa/japao/classico/cult/samurai,0
Red beard,filme/drama/kurosawa/japao/classico/cult/samurai,0
Rhapsody in August,filme/drama/kurosawa/japao/classico/cult,0
sandman 1,livro/gaiman/hq/fantasia/terror/fantasia-urbana,0
Sanjuro,filme/drama/kurosawa/japao/classico/cult/samurai,0
scandal,filme/drama/kurosawa/japao/classico/cult,0
seven samurai,filme/drama/kurosawa/japao/classico/cult/samurai,0
star trek 9,filme/scifi/espaco/star-trek/acao/aventura,0
star trek voyager s1,serie/scifi/espaco/star-trek/acao/aventura,0
stray dog,filme/drama/kurosawa/japao/classico/cult/crime/misterio/suspense,0
the bad sleep well,filme/drama/kurosawa/japao/classico/cult,0
the hidden fortress,filme/drama/kurosawa/japao/classico/cult/samurai,0
the idiot,filme/drama/kurosawa/japao/classico/cult,0
the lower depths,filme/drama/kurosawa/japao/classico/cult,0
um domingo maravilhoso,filme/drama/kurosawa/japao/classico/cult/romance,0
Yojimbo,filme/drama/kurosawa/japao/classico/cult/samurai,0
santo guerreiro,livro/historia/fantasia/literatura-brasileira,0,1
baldurs gate 3,jogo/rpg/narrativa/turno/ded/aventura/crpg/fantasia/estrategia/dark-fantasy/playstation,60,1
astrobot,jogo/playstation/plataforma/aventura/coletaton,300
paper mario,jogo/nintendo/mario/paper-mario/rpg/jrpg/visao-2d/2d/desenhado/turno/fantasia,0
dragon quest V,jogo/dragon-quest/jrpg/rpg/fantasia/medieval/aventura/anime/japao/nintendo,22,1
octopath traveler 2,jogo/nintendo/rpg/turno/jrpg/2.5d/party-rpg/mundo-aberto/narrativa/fofo/estrategia/anime/pixel-art/fantasia/casual/magia/atmosferico/aventura,60,0
horizon forbidden west,jogo/playstation/horizon/mundo-aberto/terceira-pessoa/3d/acao/scifi,300,1
Final Fantasy VII Rebirth,jogo/playstation/final-fantasy/final-fantasy-7/rpg/jrpg/terceira-pessoa/3d/acao/turno/fantasia/scifi/cyberpunk,70,1
Spider-man 2,jogo/playstation/spider-man/acao/terceira-pessoa/3d/mundo-aberto/moderno,70,1
star wars knight knights of the old republic 2,jogo/pc/rpg/narrativa/scifi/classico/tempo-real-com-pausa/aventura/crpg/aventura/terceira-pessoa/espaco/atmosferico/acao,33
final fantasy IX,jogo/nintendo/jrpg/rpg/turno/pixel-art/party-rpg/2d/exploracao/fantasia/retro/magia/aventura/remake/narrativa/anime,10,1
dragon quest builders,jogo/dragon-quest/rpg/plataforma/jrpg/3d/fofo/terceira-pessoa/acao/voxel/mundo-aberto/fantasia/colorido/anime/survivor/construcao/aventura/crafting/nintendo,24,1
