Name,Tags,DoneDate
O Senhor dos Anéis As Duas Torres,livro/senhor-dos-aneis/tolkien/aventura/alta-fantasia/epica,2020-11-02
Lobo Solitário 11,livro/lobo-solitario/samurai,2020-11-28
Xogum,livro/james-clavell/historia/japao/classico/asia,2020-12-03
Limites da Fundação,livro/asimov/scifi/romance/espaco/-especulativa,2020-12-16
O Irlandês,audiovisual/mafia/eua,2020-10-03
The Post,audiovisual/drama/eua,2020-10-17
Moneyball,audiovisual/drama/eua,2020-11-01
Star Trek First Contact,audiovisual/star-trek/scifi/espaco/space-opera/eua,2020-11-28
O Senhor dos Anéis As Duas Torres,audiovisual/senhor-dos-aneis/fantasia/nova-zelandia,2020-12-06
Mario Galaxy,jogo/nintendo/mario/aventura/terceira-pessoa/3d/plataforma/fantasia,2020-10-25
Magikarp Jump,jogo/mobile/pokemon/idle/visao-2d/2d/desenhado/escolha/fantasia,2020-10-29
Halo,jogo/pc/halo/fps/primeira-pessoa/3d/acao/shooter/scifi/espaco,2020-11-26
Mafia,jogo/playstation/mafia-serie/acao/terceira-pessoa/3d/mundo-aberto/mafia,2020-12-03
Super Luckys Tale,jogo/pc/super-luckys-tale/aventura/terceira-pessoa/3d/plataforma/fantasia,2020-12-03
The Witcher O Último Desejo,livro/witcher/fantasia/contos/alta-fantasia/aventura,2019-01-01
The Witcher A Espada do Destino,livro/witcher/fantasia/contos/alta-fantasia/aventura,2019-02-01
The Witcher O Sangue dos Elfos,livro/witcher/fantasia/contos/alta-fantasia/aventura,2019-03-01
Lobo Solitário 12,livro/lobo-solitario/samurai,2019-04-01
The Witcher Tempo de Desprezo,livro/witcher/fantasia/contos/alta-fantasia/aventura,2019-05-01
Lobo Solitário 13,livro/lobo-solitario/samurai,2019-05-01
The Witcher Batismo de Fogo,livro/witcher/fantasia/contos/alta-fantasia/aventura,2019-05-01
A Nave Espacial,livro/scifi/espaco/asimov/arthur-c-clarke/contos,2019-05-01
História de Robôs,livro/scifi/robo/espaco/asimov/contos,2019-05-01
Fundação,livro/asimov/scifi/fantasia/espaco/romance,2019-05-26
Fundação e Império,livro/asimov/scifi/fantasia/espaco/romance,2019-05-26
Segunda Fundação,livro/asimov/scifi/fantasia/espaco/romance,2019-05-26
Sandman 1,livro/sandman/fantasia,2019-06-25
Sandman 2,livro/sandman/fantasia,2019-06-28
Sangue Suor e Pixels,livro/jason-schreier/jogos/negocios/tecnologia/historia/game-design/programacao,2019-07-10
Lobo Solitário 14,livro/lobo-solitario/samurai,2019-08-01
Lobo Solitário 15,livro/lobo-solitario/samurai,2019-08-01
Sonhos de Robô,livro/asimov/scifi/contos/robos/antologia,2019-09-21
Lobo Solitário 16,livro/lobo-solitario/samurai,2019-09-26
1808,livro/laurentino-gomes/historia/brasil/portugal/politica,2019-10-01
1822,livro/laurentino-gomes/historia/brasil/portugal/politica,2020-10-01
The Witcher 3,jogo/playstation/the-witcher/rpg/crpg/terceira-pessoa/3d/acao/fantasia-medieval,2019-01-01
Mario+Rabbits,jogo/estrategia/mario/aventura/nintendo/rabbids/acao,2019-01-01
Quarantine Circular,jogo/nintendo/circular/visual-novel/cena-estatica/3d/escolha/scifi/alienigena,2019-01-01
Fifa 19,jogo/esporte/futebol/multiplayer/gerenciamento/fifa/playstation,2019-01-01
Spider-man,jogo/playstation/spider-man/acao/terceira-pessoa/3d/mundo-aberto/moderno,2019-01-01
Tacoma,jogo/pc/tacoma/quebra-cabeca/primeira-pessoa/3d/walking-simulator/scifi/espaco,2019-06-16
Orwell,jogo/pc/orwell/quebra-cabeca/console/2d/point-and-click/scifi,2019-06-20
Link's Awakening,zelda/jogo/aventura/fantasia/exploracao/acao/nintendo,2019-09-24
Return of The Obra Dinn,jogo/nintendo/obra-dinn/crime/primeira-pessoa/pixel-art/quebra-cabeca/pirata,2019-12-01
The Handmaiden,audiovisual/drama/coreia-do-sul,2019-01-01
Love Death Robots,audiovisual/scifi/espaco/cyberpunk/animacao/fantasia,2019-02-01
The Office season 1,audiovisual/the-office/mockumentary/comedia/eua,2019-03-01
The Office season 2,audiovisual/the-office/mockumentary/comedia/eua,2019-03-02
The Office season 3,audiovisual/the-office/mockumentary/comedia/eua,2019-03-03
The Office season 4,audiovisual/the-office/mockumentary/comedia/eua,2019-03-04
Avengers Endgame,audiovisual/vingadores/super-heroi,2019-04-01
Blade Runner 2049,audiovisual/scifi/cyberpunk/blade-runner/eua,2019-05-01
Game of Thrones,audiovisual/fantasia/medieval/drama/game-of-thrones/politica,2019-06-01
Bastardos Inglórios,audiovisual/guerra/eua,2019-06-01
Hell or High Water,audiovisual/drama/faroeste/eua,2019-06-01
A Grande Aposta,audiovisual/drama/comedia/eua,2019-06-30
Caçada ao Outubro Vermelho,audiovisual/guerra/eua,2019-07-09
Era uma vez em Hollywood,audiovisual/drama/eua,2019-08-27
Os Intocáveis,audiovisual/mafia/eua,2019-09-26
Ad Astra,audiovisual/james-gray/scifi/espaco/cyberpunk/ciencia,2019-10-06
Joker,audiovisual/drama/eua,2019-10-14
Star Trek 8,audiovisual/scifi/acao/aventura/star-trek/espaco,2019-11-23
Sandman 3,livro/sandman/fantasia,2019-12-09
Lobo Solitario 17,livro/lobo-solitario/samurai,2019-12-17
Star Wars 9,audiovisual/scifi/espaco/aventura/star-wars/disney,2019-12-18
The Mandalorian,audiovisual/scifi/espaco/star-wars/aventura/acao,2019-12-30
Asimov The Complete series 1,livro/asimov/scifi/contos/fantasia/antologia,2020-01-02
Beren e Luthien,livro/tolkien/senhor-dos-aneis/fantasia/alta-fantasia/epica,2020-01-27
Sereias de Titã,livro/kurt-vonnegut/scifi/classico/comedia/fantasia,2020-02-07
Sandman 4,livro/sandman/fantasia,2020-03-02
O Fim da Eternidade,livro/asimov/scifi/viagem-no-tempo/distopia/-especulativa,2020-03-17
Lobo Solitario 18,livro/lobo-solitario/samurai,2020-03-18
Darth Maul Son of Dathromir,livro/star-wars/hq/scifi/fantasia/espaco,2020-04-19
O Rei de Amarelo,livro/terror/contos/fantasia/gotico/suspense,2020-04-14
Lobo Solitario 19,livro/lobo-solitario/samurai,2020-04-25
Sandman 5,livro/sandman/fantasia,2020-04-29
Lobo Solitario 20,livro/lobo-solitario/samurai,2020-05-01
Conan 1,livro/conan/robert-e-howard/fantasia/capa-e-espada/contos,2020-05-02
Justiça Ancilar,livro/scifi/espaco/espaco/fantasia/-especulativa,2020-05-22
O Físico,livro/historia/historia/aventura/romance/classico,2020-06-09
O Lobo das Planícies,livro/historia/guerra,2020-06-24
Leviatã Desperta,livro/the-expanse/scifi/espaco/suspense/terror,2020-07-19
Lobo Solitario 21,livro/lobo-solitario/samurai,2020-07-25
Como o futebol explica o mundo,livro/franklin-foer/esporte/futebol/historia/politica,2020-08-07
Guerra dos tronos,livro/george-martin/game-of-thrones/fantasia/epica/alta-fantasia,2020-08-26
The Witcher 6,livro/witcher/fantasia/contos/alta-fantasia/aventura,2020-08-19
Sandman 6,livro/sandman/fantasia,2020-08-29
Lobo Solitario 22,livro/lobo-solitario/samurai,2020-09-29
O Senhor dos Anéis A Sociedade do Anel,livro/senhor-dos-aneis/tolkien/aventura/alta-fantasia/epica,2020-09-17
Entre facas e segredos,audiovisual/knives-out/crime/comedia/eua,2020-01-11
The Witcher s1,audiovisual/fantasia/witcher/eua,2020-01-23
Matar ou morrer,audiovisual/faroeste/eua,2020-02-01
Jojo Rabbit,audiovisual/guerra/drama/nova-zelandia,2020-12-08
Cowboys do Espaço,audiovisual/scifi/espaco/drama/eua,2020-02-16
O Rei da Comédia,audiovisual/drama/eua,2020-03-08
The Circle,audiovisual/reality-show/eua,2020-03-09
The Circle Brasil,audiovisual/reality-show/brasil,2020-03-29
O Sétimo Selo,audiovisual/drama/suecia,2020-04-06
Picard,audiovisual/scifi/espaco/star-trek/eua,2020-04-19
Castelo no Céu,audiovisual/animacao/japao,2020-04-20
Meu nome é dolemite,audiovisual/biografia/eua,2020-06-13
Senhor das Armas,audiovisual/biografia/eua,2020-07-19
Contos de Terramar,audiovisual/animacao/fantasia/medieval/ghibli/ursula-k-le-guin,2020-08-01
O Senhor dos Anéis As Duas Torres,audiovisual/fantasia/senhor-dos-aneis/tolkien/aventura/acao,2020-08-02
Yakuza 0,jogo/playstation/yakuza/rpg/jrpg/terceira-pessoa/3d/acao/mafia,2021-03-18
Furi,jogo/acao/bullet-hell/indie/hackn-slash/anime/playstation,2020-04-16
