Name,Tags,Price,Tier
forbidden planet,audiovisual/ficcao/scifi/acao/aventura/suspense,0,1
people make games,audiovisual/documentario/nao-ficcao/jogos/historia/biografia/people-make-games,0,1
sandman 1,livro/ficcao/gaiman/hq/fantasia/terror/fantasia-urbana,0,1
batman ano 1,livro/hq/batman/ficcao/super-heroi/fantasia/crime,0,1
wolverine arma x,livro/wolverine/hq/marvel/super-heroi/ficcao/fantasia,0,1
ilse a bruxa,livro/fantasia/ficcao/epico/alta-fantasia/aventura/scifi,0,1
a queda de numenor,livro/tolkien/senhor-dos-aneis/fantasia/ficcao/alta-fantasia/epico,0,1
sal gordura acido calor,livro/nao-ficcao/culinaria/ciencias,0,1
atlas da terra media,livro/ficcao/nao-ficcao/tolkien/mapas/fantasia/senhor-dos-aneis,0,1
sr bonaventura,livro/tolkien/fantasia/ficcao/infantil/comedia/aventura,0,1
brandon sanderson sampler,livro/fantasia/ficcao/epico/alta-fantasia/scifi/aventura,0,1
hyperion,livro/ficcao/scifi/ficcao/fantasia/space-opera/fantasia/terror/viagem-no-tempo/classico,20,1
o nome do vento,livro/ficcao/fantasia/epico/alta-fantasia/magia/adulto/aventura,0,1
escravidao,livro/nao-ficcao/historia/brasil/africa/racial/politica/portugal/laurentino-gomes,0,1
barba-azul,livro/ficcao/kurt-vonnegut/classico/comedia/novel/ficcao-cientifica/estados-unidos/artes/contemporaneo,0,1
casa nobre,livro/ficcao/james-clavell/ficcao-historica/historia/asia/china/aventura/suspense/novel/classico,0,1
tudo sobre arte,livro/nao-ficcao/arte/historia/referencia/educacao/inglaterra/design/cultura,0,1
balatro,jogo/rogue-like/deckbuilding/estrategia/em-turnos/pixel-art/casual/dificil/2d/simulacao/arcade,10,1
triangle strategy,jogo/tatico/turnos/rpg/estrategia/politica/guerra/jrpg/pixel-art/simulacao/2d/movimento-em-grade/narrativa/visual-novel,60,1
monkey island 2 le chucks revenge,jogo/monkey-island/pc/point-and-click/aventura/comedia/classico/remake/pirata/puzzle/anos-90/comedia/2d/retro/cult/narrativa/atmosferico/pixel-art,0,1
shenmue 2,jogo/acao/aventura/rpg/beatn-up/anime/playstation,0,1
phoenix wright 3,jogo/nintendo/phoenix-wright/detetive/visual-novel/narrativa/misterio/anime/aventura/puzzle/crime/point-and-click/comedia/classico/cult/2d/lgbt,0,1
